,feature,selection_count,pair_count,cpss_score
44,METH__BTF3L4,1,0,0.05
432,METH__HBP1,1,0,0.05
274,METH__RNF146,1,0,0.05
157,METH__WDR89,1,0,0.05
362,MUT__NCOR2,1,0,0.05
201,CNV__REL,1,0,0.05
468,METH__TAF10,1,0,0.05
365,METH__SERP1,1,0,0.05
87,METH__PRPF40A,1,0,0.05
208,MUT__MAP2,1,0,0.05
151,MUT__ATF7IP,1,0,0.05
453,CNV__XPO1,1,0,0.05
207,METH__NAB2,1,0,0.05
106,METH__METTL13,1,0,0.05
389,MUT__WRN,0,0,0.0
70,MUT__MB21D2,0,0,0.0
402,MUT__CHD4,0,0,0.0
399,METH__GALNT4,0,0,0.0
400,MUT__PTPRB,0,0,0.0
64,MUT__LDB1,0,0,0.0
401,MUT__SMAD3,0,0,0.0
393,MUT__WNK4,0,0,0.0
67,MUT__DCAF12L2,0,0,0.0
391,MUT__RAD51C,0,0,0.0
396,MUT__AXIN2,0,0,0.0
68,MUT__PTPRC,0,0,0.0
69,MUT__IRAK1,0,0,0.0
175,MUT__SMAD2,0,0,0.0
72,MUT__PTPRK,0,0,0.0
75,MUT__PTPN13,0,0,0.0
351,MUT__GATA2,0,0,0.0
352,MUT__ELN,0,0,0.0
92,MUT__ERCC4,0,0,0.0
354,MUT__PLCB4,0,0,0.0
91,MUT__FGFR3,0,0,0.0
359,MUT__ERBB3,0,0,0.0
360,MUT__CUL3,0,0,0.0
361,MUT__H3-3A,0,0,0.0
88,MUT__HSP90AB1,0,0,0.0
369,MUT__RUNX1,0,0,0.0
85,MUT__BIRC3,0,0,0.0
371,MUT__RGPD3,0,0,0.0
372,MUT__ZBTB16,0,0,0.0
373,MUT__FBXO11,0,0,0.0
374,MUT__IDH2,0,0,0.0
403,MUT__ELF4,0,0,0.0
84,MUT__AKT1,0,0,0.0
377,MUT__SUFU,0,0,0.0
378,MUT__RASA1,0,0,0.0
379,MUT__SETBP1,0,0,0.0
380,MUT__PTPRD,0,0,0.0
381,MUT__LPAR4,0,0,0.0
81,MUT__RSPH10B2,0,0,0.0
79,MUT__POT1,0,0,0.0
384,MUT__CBFB,0,0,0.0
375,MUT__MGA,0,0,0.0
50,METH__SPTAN1,0,0,0.0
405,MUT__PLAG1,0,0,0.0
58,MUT__ARHGAP5,0,0,0.0
452,MUT__SDHD,0,0,0.0
455,MUT__DAXX,0,0,0.0
19,METH__HEATR7A,0,0,0.0
457,MUT__TRIM33,0,0,0.0
14,MUT__FOXO3,0,0,0.0
461,MUT__MLLT1,0,0,0.0
12,MUT__SPOP,0,0,0.0
463,MUT__MITF,0,0,0.0
465,MUT__BAP1,0,0,0.0
466,MUT__CCDC6,0,0,0.0
467,MUT__NIN,0,0,0.0
469,MUT__WNK2,0,0,0.0
470,MUT__BCL6,0,0,0.0
10,METH__RNF44,0,0,0.0
9,METH__USPL1,0,0,0.0
473,MUT__PPARG,0,0,0.0
474,MUT__RPL5,0,0,0.0
475,METH__LOC256880,0,0,0.0
8,METH__ZFC3H1,0,0,0.0
477,METH__ZNF292,0,0,0.0
478,MUT__RABEP1,0,0,0.0
479,MUT__CDH1,0,0,0.0
480,MUT__MRTFA,0,0,0.0
481,MUT__KNL1,0,0,0.0
482,MUT__FANCG,0,0,0.0
6,METH__C1orf31,0,0,0.0
484,MUT__ZEB1,0,0,0.0
485,MUT__MAP3K13,0,0,0.0
487,MUT__IRS4,0,0,0.0
25,MUT__STIL,0,0,0.0
26,MUT__ZNF626,0,0,0.0
28,METH__MLF1IP,0,0,0.0
42,MUT__PAK2,0,0,0.0
408,MUT__ZNF521,0,0,0.0
409,MUT__IFNAR1,0,0,0.0
412,MUT__BCL7A,0,0,0.0
413,MUT__TFG,0,0,0.0
414,MUT__KMT2B,0,0,0.0
56,MUT__RAD51D,0,0,0.0
54,MUT__CLIP1,0,0,0.0
53,MUT__FOXP1,0,0,0.0
418,MUT__ZFP36L1,0,0,0.0
51,MUT__PARP4,0,0,0.0
49,MUT__NCOA1,0,0,0.0
422,MUT__BIRC6,0,0,0.0
47,MUT__TRIM24,0,0,0.0
40,MUT__NT5C3A,0,0,0.0
447,MUT__TOP2A,0,0,0.0
428,MUT__NFKBIA,0,0,0.0
38,METH__DDX55,0,0,0.0
431,MUT__AXIN1,0,0,0.0
433,MUT__CYLD,0,0,0.0
434,MUT__ALK,0,0,0.0
436,MUT__ALB,0,0,0.0
438,MUT__CCNB1IP1,0,0,0.0
34,MUT__NXF1,0,0,0.0
440,MUT__KLHL36,0,0,0.0
441,MUT__GNAQ,0,0,0.0
443,MUT__AKT3,0,0,0.0
444,MUT__ESRRA,0,0,0.0
445,MUT__IFNGR1,0,0,0.0
350,MUT__RSPO2,0,0,0.0
332,MUT__TAF15,0,0,0.0
93,MUT__FGFR2,0,0,0.0
232,METH__RPS14,0,0,0.0
239,MUT__RPS6KA3,0,0,0.0
237,MUT__RNF213,0,0,0.0
236,MUT__USP44,0,0,0.0
235,MUT__FLT3,0,0,0.0
234,MUT__NPEPPS,0,0,0.0
233,MUT__GNAI2,0,0,0.0
230,METH__NCAPD2,0,0,0.0
242,MUT__ABI1,0,0,0.0
229,MUT__KAT6B,0,0,0.0
228,MUT__INO80,0,0,0.0
226,MUT__U2AF2,0,0,0.0
225,MUT__NOTCH2,0,0,0.0
224,MUT__MARK2,0,0,0.0
150,METH__PSPC1,0,0,0.0
240,MUT__SDHB,0,0,0.0
243,MUT__RAD51B,0,0,0.0
347,MUT__MDM4,0,0,0.0
253,MUT__IRF4,0,0,0.0
261,MUT__DDB2,0,0,0.0
141,MUT__PCMTD1,0,0,0.0
258,MUT__ZNF208,0,0,0.0
142,MUT__KDM5C,0,0,0.0
143,MUT__EXT1,0,0,0.0
144,MUT__CDKN2C,0,0,0.0
252,MUT__LATS2,0,0,0.0
245,MUT__ARHGEF12,0,0,0.0
145,MUT__HOXA11,0,0,0.0
146,MUT__ARHGEF10,0,0,0.0
147,MUT__PHF6,0,0,0.0
248,MUT__GATA3,0,0,0.0
247,MUT__ZCRB1,0,0,0.0
246,MUT__FANCD2,0,0,0.0
221,MUT__SIRPA,0,0,0.0
219,MUT__TET1,0,0,0.0
154,MUT__TBX3,0,0,0.0
187,MUT__CARS1,0,0,0.0
167,METH__ANAPC11,0,0,0.0
192,MUT__ZBTB7B,0,0,0.0
191,MUT__MTOR,0,0,0.0
168,MUT__NCOA2,0,0,0.0
170,MUT__RXRA,0,0,0.0
188,MUT__PPP6C,0,0,0.0
186,MUT__FANCF,0,0,0.0
155,MUT__RANBP2,0,0,0.0
184,MUT__CCR7,0,0,0.0
172,MUT__SLC45A3,0,0,0.0
182,MUT__IKZF1,0,0,0.0
180,METH__CDC20,0,0,0.0
173,MUT__CACNA1D,0,0,0.0
178,MUT__WDR45,0,0,0.0
195,MUT__SEPTIN9,0,0,0.0
196,MUT__LIFR,0,0,0.0
166,MUT__LPP,0,0,0.0
199,MUT__MAF,0,0,0.0
200,MUT__PRDM1,0,0,0.0
164,MUT__PDGFRA,0,0,0.0
203,MUT__WAS,0,0,0.0
163,MUT__FUBP1,0,0,0.0
160,METH__FAM76B,0,0,0.0
206,MUT__EIF3E,0,0,0.0
209,MUT__CLTCL1,0,0,0.0
159,MUT__CDK4,0,0,0.0
212,MUT__BARD1,0,0,0.0
156,MUT__DNM2,0,0,0.0
214,METH__MRPL12,0,0,0.0
215,METH__NFYA,0,0,0.0
216,MUT__TFAP4,0,0,0.0
140,MUT__MAP2K7,0,0,0.0
138,METH__PPME1,0,0,0.0
137,MUT__NPRL2,0,0,0.0
315,MUT__EIF1AX,0,0,0.0
109,MUT__ING1,0,0,0.0
320,MUT__EFTUD2,0,0,0.0
319,MUT__FAT4,0,0,0.0
318,MUT__CDKN1B,0,0,0.0
317,MUT__FLT4,0,0,0.0
110,MUT__RBM15,0,0,0.0
314,MUT__PAX5,0,0,0.0
305,MUT__CBLB,0,0,0.0
313,METH__UBR2,0,0,0.0
112,MUT__TRIM49C,0,0,0.0
311,MUT__DOT1L,0,0,0.0
310,MUT__ATP2B3,0,0,0.0
309,MUT__CCND1,0,0,0.0
307,MUT__LY75-CD302,0,0,0.0
323,MUT__CBFA2T3,0,0,0.0
324,MUT__TCF7L2,0,0,0.0
325,METH__RUVBL2,0,0,0.0
327,MUT__ID3,0,0,0.0
105,MUT__CR1,0,0,0.0
329,MUT__BLM,0,0,0.0
174,MUT__ERCC5,0,0,0.0
104,MUT__MAP2K4,0,0,0.0
336,MUT__BCL2L12,0,0,0.0
337,MUT__PRF1,0,0,0.0
339,MUT__BRD7,0,0,0.0
340,MUT__SGK1,0,0,0.0
96,METH__PIAS4,0,0,0.0
95,MUT__ATP1A1,0,0,0.0
344,MUT__TRAF3,0,0,0.0
345,MUT__HTRA2,0,0,0.0
94,MUT__ELF3,0,0,0.0
114,MUT__SLC34A2,0,0,0.0
116,MUT__FOXO4,0,0,0.0
266,MUT__CSF3R,0,0,0.0
276,METH__INTS12,0,0,0.0
127,MUT__SH2B3,0,0,0.0
128,MUT__MAP2K1,0,0,0.0
280,MUT__WIF1,0,0,0.0
129,MUT__KDM3B,0,0,0.0
278,MUT__CIC,0,0,0.0
277,MUT__TCF4,0,0,0.0
130,METH__ZNF646,0,0,0.0
119,MUT__FAT2,0,0,0.0
273,MUT__EPHA2,0,0,0.0
272,MUT__STAT3,0,0,0.0
271,MUT__NFKB2,0,0,0.0
131,MUT__MEN1,0,0,0.0
269,MUT__PREX2,0,0,0.0
135,METH__PBRM1,0,0,0.0
284,MUT__SFRP4,0,0,0.0
285,MUT__ACVR1,0,0,0.0
286,MUT__MET,0,0,0.0
288,MUT__NRP1,0,0,0.0
126,MUT__ERCC2,0,0,0.0
290,METH__CDK13,0,0,0.0
291,MUT__ETV4,0,0,0.0
124,MUT__NONO,0,0,0.0
122,MUT__DCC,0,0,0.0
121,MUT__ESR1,0,0,0.0
295,MUT__PLCG1,0,0,0.0
296,MUT__ZRSR2,0,0,0.0
297,MUT__NTRK1,0,0,0.0
298,MUT__FLCN,0,0,0.0
299,MUT__SALL4,0,0,0.0
300,MUT__CDC73,0,0,0.0
301,MUT__USP9X,0,0,0.0
244,MUT__ELL,0,0,0.0
