itemset,size,support,support_pct,drugs
"TPM__IKZF1, TPM__PIK3CG",2,37,15.289256198347106,"Podophyllotoxin bromide, PFI3, alpha-lipoic acid, Cisplatin, RVX-208 (+32)"
TPM__RCSD1,1,37,15.289256198347106,"Oxaliplatin, PFI3, alpha-lipoic acid, RVX-208, I-BRD9 (+32)"
TPM__TJP1,1,37,15.289256198347106,"Cytarabine, UNC0379, GSK626616AC, LMB_AB1, PBD-288 (+32)"
TPM__ARHGAP15,1,35,14.46280991735537,"Oxaliplatin, Cytarabine, TW 37, PFI3, LMB_AB1 (+30)"
"METH__CCM2, TPM__IKZF1, TPM__NCKAP1L",3,34,14.049586776859504,"Oxaliplatin, PFI3, LMB_AB1, Nutlin-3a (-), RVX-208 (+29)"
"TPM__MIR142HG, TPM__NCKAP1L, TPM__PDE1B",3,34,14.049586776859504,"Oxaliplatin, Ribociclib, PFI3, LMB_AB1, Elephantin (+29)"
METH__LAMB2,1,34,14.049586776859504,"Oxaliplatin, PFI3, LMB_AB1, Cisplatin, RVX-208 (+29)"
"METH__PTPN14, TPM__MIR142HG",2,33,13.636363636363635,"JAK_8517, Oxaliplatin, alpha-lipoic acid, I-BRD9, EPZ004777 (+28)"
TPM__TNFRSF12A,1,33,13.636363636363635,"JAK_8517, Oxaliplatin, Axitinib, GSK626616AC, Dasatinib (+28)"
METH__TEAD4,1,33,13.636363636363635,"615590, Ribociclib, Bortezomib, Savolitinib, AGI-5198 (+28)"
"TPM__MIR142HG, TPM__RCSD1",2,32,13.223140495867769,"Oxaliplatin, PFI3, alpha-lipoic acid, RVX-208, I-BRD9 (+27)"
"TPM__NCKAP1L, TPM__PTPN7",2,32,13.223140495867769,"Oxaliplatin, Ribociclib, PFI3, LMB_AB1, Elephantin (+27)"
METH__PRIC285,1,32,13.223140495867769,"JAK_8517, GSK626616AC, LJI308, AZD1208, RVX-208 (+27)"
"TPM__MIR142HG, TPM__NCKAP1L, TPM__PIK3CG",3,31,12.8099173553719,"Podophyllotoxin bromide, PFI3, alpha-lipoic acid, Cisplatin, RVX-208 (+26)"
"TPM__IKZF1, TPM__RCSD1",2,31,12.8099173553719,"Oxaliplatin, PFI3, alpha-lipoic acid, RVX-208, I-BRD9 (+26)"
"METH__DSTN, TPM__MIR142HG",2,31,12.8099173553719,"Savolitinib, Podophyllotoxin bromide, alpha-lipoic acid, Lenalidomide, EPZ004777 (+26)"
"TPM__IKZF1, TPM__MIR142HG, TPM__PIK3CG",3,30,12.396694214876034,"Podophyllotoxin bromide, PFI3, alpha-lipoic acid, Cisplatin, RVX-208 (+25)"
"METH__CCM2, TPM__NCKAP1L, TPM__PDE1B",3,30,12.396694214876034,"Oxaliplatin, PFI3, LMB_AB1, RVX-208, I-BRD9 (+25)"
"TPM__IKZF1, TPM__PTPN7",2,30,12.396694214876034,"Oxaliplatin, UNC0379, PFI3, LMB_AB1, Elephantin (+25)"
"TPM__ARHGAP15, TPM__MIR142HG",2,30,12.396694214876034,"Oxaliplatin, Cytarabine, PFI3, LMB_AB1, Elephantin (+25)"
"METH__CCM2, TPM__PDE1B",2,30,12.396694214876034,"Oxaliplatin, PFI3, LMB_AB1, RVX-208, I-BRD9 (+25)"
TPM__SDC4,1,30,12.396694214876034,"PCI-34051, Axitinib, GSK626616AC, LMB_AB1, PBD-288 (+25)"
METH__TMEM51,1,30,12.396694214876034,"Podophyllotoxin bromide, PFI3, RVX-208, I-BRD9, Temozolomide (+25)"
